service_rte_num,weekday,week_rel,yrly_rel
183,weekend,144.41716454163867,172.61909711985265
128,weekend,145.47828186386968,157.47402938336293
165,weekday,145.93640372341554,133.47328637630946
271,weekday,146.23559168515087,230.95372410959976
232,weekday,147.41294142603053,147.41294142603053
566,weekday,147.55000039302317,147.55000039302317
672,weekend,147.68619738896183,108.52825074894368
218,weekday,149.12911131819322,149.12911131819322
675,weekend,149.98605681805802,133.22949155826453
33,weekday,151.55564422319497,187.1009516678741
250,weekend,152.33728303504603,139.0135287028753
113,weekday,152.56467954491487,152.56467954491487
124,weekday,153.30595782882716,171.60507257305179
45,weekend,153.78275144198386,144.08327435630687
249,weekend,153.94169166928492,113.56289081056646
148,weekday,154.2330862603905,134.89494498609383
15,weekday,155.2871511525362,155.2871511525362
348,weekend,155.33674284751353,169.23516118663
347,weekday,156.35776495225628,168.06350261509823
18,weekday,157.0016760596804,157.0016760596804
302,weekday,157.19021418360273,157.19021418360273
161,weekday,159.04974664958942,162.76788158408786
257,weekday,160.3450605773282,160.3450605773282
24,weekday,160.7687636401193,185.74441530904699
556,weekday,162.51783598612542,162.51783598612542
131,weekday,163.85712401460327,175.6782984455282
182,weekday,164.19293560267607,137.0324570710524
678,weekend,164.3742711337293,140.81516183984147
241,weekend,164.6755569826107,153.49041669173388
225,weekday,165.2857634221352,141.13054990535448
987,weekday,165.66021540044306,165.66021540044306
31,weekend,166.3952442557592,177.93099542389754
49,weekday,166.7058798472937,188.82367989409565
161,weekend,166.76143392114173,162.76788158408786
125,weekend,167.42852928863698,154.2434997670944
128,weekday,168.64248397047737,157.47402938336293
4,weekend,169.0429212796054,152.32166350844992
107,weekday,169.05290410243066,139.46366516541173
32,weekday,169.1549405892014,191.3912377873118
12,weekend,169.4146191770485,170.53664238485004
554,weekend,170.2637323281777,113.11038496535835
12,weekday,171.58128468176875,170.53664238485004
65,weekday,175.45607550102284,146.09509504001304
14,weekend,175.5486575298028,129.8990427014911
168,weekend,175.54865975173684,187.40486392467992
40,weekend,177.22915749221573,157.72087917877766
226,weekend,178.32347998993905,156.54746264320679
28,weekday,178.60742399998398,203.00875611082262
67,weekday,179.34148553230278,150.6857797716686
132,weekday,179.48313262005158,191.48021385068066
106,weekday,179.8839413229514,181.12683182437192
347,weekend,180.63633195666918,168.06350261509823
60,weekend,180.91369791024027,147.3744092510364
177,weekday,181.71131440039036,181.71131440039036
348,weekday,182.17506791615222,169.23516118663
106,weekend,182.46178828886065,181.12683182437192
190,weekday,183.0220080354768,183.0220080354768
237,weekday,183.2742890465253,183.2742890465253
43,weekday,186.18024069607546,202.25193424335953
131,weekend,188.37511542689202,175.6782984455282
9,weekday,188.41501804666373,188.41501804666373
31,weekday,188.67117754595736,177.93099542389754
124,weekend,191.25967729833008,171.60507257305179
11,weekday,194.12769676757608,261.92113870759323
230,weekday,194.2662359688206,151.92443917665383
183,weekday,197.9035883968721,172.61909711985265
168,weekday,198.44339884431656,187.40486392467992
8,weekend,200.94837103740988,221.4260575641832
132,weekend,204.36596776506002,191.48021385068066
62,weekend,205.43044423712126,208.75718561362004
7,weekend,205.70597244549992,153.44232530778748
212,weekday,211.69072517279855,211.69072517279855
62,weekday,211.85449655036027,208.75718561362004
24,weekend,212.57011524974712,185.74441530904699
49,weekend,212.57983549991997,188.82367989409565
988,weekday,213.72791890388598,213.72791890388598
27,weekend,214.97945552977578,172.8853174685534
32,weekend,215.27466811120817,191.3912377873118
111,weekday,219.43688772045195,219.43688772045195
43,weekend,219.51412360896092,202.25193424335953
1,weekend,221.89312745756382,180.15584450629106
162,weekday,224.2288479216902,224.2288479216902
33,weekend,225.27924484919615,187.1009516678741
28,weekend,229.21759430394562,203.00875611082262
153,weekday,229.5396834756311,229.5396834756311
208,weekday,233.91272375329993,237.1827465203275
17,weekday,240.23796047987054,240.23796047987054
8,weekday,240.49148984773078,221.4260575641832
208,weekend,240.83007960662746,237.1827465203275
21,weekend,241.96680348097863,188.9221221119185
5,weekend,266.10279266319435,197.03607063529094
193,weekday,269.4602809607896,269.4602809607896
545,weekend,284.5363800348234,164.7628340566849
542,weekend,296.167037643955,178.98929461400056
271,weekend,321.9472737506745,230.95372410959976
11,weekend,334.7363170876116,261.92113870759323
992,weekday,361.486255042564,361.486255042564
255,weekend,362.29103547406163,213.6713804107575
