stop_id,auth_name,bearing_code,jurisdiction,kcm_managed_equipment,route_list,num_shelters,yrly_rel,yrly_rel_mins,stop_name
1340,Seattle,E,SEA,YES,27,0,198.41247968856126,3.306874661476021,Yesler Way & Dilling Way
997,Unknown,N,SEA,UNK,162N 257 311,0,198.33620704243918,3.3056034507073195,6th Ave & Union St
6710,Seattle,N,SEA,YES,5,0,197.95194619200896,3.2991991032001495,Greenwood Ave N & N 103rd St
37840,Seattle,S,SEA,YES,79,0,197.9512307404744,3.2991871790079066,55th Ave NE & NE 68th St
5790,Seattle,S,SEA,YES,5,1,195.38005587643636,3.256334264607273,Greenwood Ave N & N 85th St
26010,Seattle,N,SEA,YES,65,0,195.32831706966482,3.25547195116108,35th Ave NE & NE 95th St
30170,Seattle,W,SEA,YES,107,1,195.05214402413398,3.2508690670688996,S Henderson St & Martin L King Jr Way S
3600,Seattle,W,SEA,YES,1 106 14N 36 7,1,194.71331520253477,3.2452219200422463,S Jackson St & 12th Ave S
21440,Seattle,W,SEA,YES,128,0,194.02371185163489,3.2337285308605814,SW Orchard St & Delridge Way SW
760,Seattle,S,SEA,YES,257N 311N 545E,0,193.70190838204917,3.2283651397008195,5th Ave & Pine St
31731,Seattle,N,SEA,YES,22 H,1,193.0374340090031,3.2172905668167187,26th Ave SW & SW Barton St
9580,Seattle,E,SEA,YES,49 70 79,1,191.34024851010665,3.189004141835111,NE Campus Pkwy & Brooklyn Ave NE
9144,Seattle,W,SEA,YES,255,0,190.97717949774136,3.1829529916290227,NE Campus Pkwy & University Way NE
10916,Seattle,S,SEA,YES,49,1,190.87136763518578,3.1811894605864297,Harvard Ave E & Eastlake Ave E
23610,Seattle,N,SEA,YES,67,0,190.80538465571405,3.1800897442619007,Roosevelt Way NE & NE 75th St
3210,Seattle,E,SEA,YES,2,0,190.60571738158401,3.1767619563597336,E Union St & 23rd Ave
10513,Seattle,N,SEA,YES,65,2,190.520422935463,3.1753403822577164,40th Ave NE & NE 46th St
23831,Unknown,N,SEA,UNK,75,0,189.90170544242403,3.1650284240404005,5th Ave NE & NE 123rd St
8330,Seattle,N,SEA,YES,7 9E,1,189.6539747702073,3.160899579503455,Rainier Ave S & S Genesee St
7210,Seattle,S,SEA,YES,E,1,189.21383563990858,3.1535639273318097,Aurora Ave N & N 65th St
31930,Seattle,S,SEA,YES,128 50,0,188.49096674031253,3.1415161123385422,California Ave SW & SW Lander St
5710,Seattle,S,SEA,YES,5,1,187.79049402789994,3.1298415671316655,Greenwood Ave N & Holman Rd N
4500,Seattle,S,SEA,YES,13,0,187.67565863464407,3.1279276439107346,Queen Anne Ave N & W Crockett St
39260,Seattle,N,SEA,YES,348,0,186.6547021651316,3.110911702752193,15th Ave NE & NE 127th St
2220,Seattle,S,SEA,YES,124 13N 14 1N 2 24N 27 33N 4 DN,1,186.61062536781714,3.110177089463619,3rd Ave & Cedar St
