stop_id,auth_name,bearing_code,jurisdiction,kcm_managed_equipment,route_list,num_shelters,yrly_rel,yrly_rel_mins,stop_name
500,Seattle,S,SEA,YES,13N 14 17EN 1N 2N 36 3N 40N 49N 4N 62N 7 70N,1,NA,NA,3rd Ave & James St
501,Metro King County,S,SEA,YES,599N,0,NA,NA,Pioneer Sq Sta AcRd & Transit Tunnel AcRd
28510,Seattle,N,SEA,YES,28E,1,NA,NA,8th Ave NW & NW 65th St
29581,Unknown,W,SEA,UNK,44,1,NA,NA,N 46th St & Fremont Ave N
29582,Unknown,E,SEA,UNK,44,1,NA,NA,N 46th St & Aurora Ave N
29620,Seattle,W,SEA,YES,44,0,NA,NA,NW Market St & NW 48th St
29630,Seattle,W,SEA,YES,44,0,NA,NA,NW Market St & NW 50th St
29640,Seattle,W,SEA,YES,44,0,NA,NA,NW Market St & 3rd Ave NW
29650,Seattle,W,SEA,YES,44,0,NA,NA,NW Market St & 5th Ave NW
29660,Seattle,W,SEA,YES,44,1,NA,NA,NW Market St & 8th Ave NW
29680,Seattle,W,SEA,YES,44,0,NA,NA,NW Market St & 11th Ave NW
2500,Seattle,N,SEA,YES,1,0,NA,NA,10th Ave W & W Halladay St
2510,Seattle,N,SEA,YES,1,0,NA,NA,10th Ave W & W Newell St
2520,Seattle,N,SEA,YES,1,0,NA,NA,9th Ave W & W Armour St
2570,Seattle,E,SEA,YES,2,1,NA,NA,W McGraw St & 6th Ave W
2590,Seattle,S,SEA,YES,2,1,NA,NA,6th Ave W & W Howe St
31136,Seattle,E,SEA,YES,7,1,NA,NA,S Henderson St & 53rd Ave S
31150,Seattle,E,SEA,YES,33,1,NA,NA,W Government Way & 36th Ave W
31160,Seattle,E,SEA,YES,33,0,NA,NA,W Government Way & 31st Ave W
31180,Seattle,E,SEA,YES,33,0,NA,NA,Gilman Ave W & 28th Pl W
31190,Seattle,S,SEA,YES,33,1,NA,NA,Gilman Ave W & W Jameson St
31210,Seattle,S,SEA,YES,33,0,NA,NA,Gilman Ave W & 25th Ave W
2600,Seattle,S,SEA,YES,2,0,NA,NA,6th Ave W & W Blaine St
2610,Seattle,S,SEA,YES,2,1,NA,NA,6th Ave W & W Galer St
4265,Seattle,N,SEA,YES,4,0,NA,NA,Taylor Ave N & Prospect St
4280,Seattle,N,SEA,YES,4,0,NA,NA,Taylor Ave N & Lee St
4290,Seattle,N,SEA,YES,4,0,NA,NA,Taylor Ave N & Galer St
4300,Seattle,N,SEA,YES,4,0,NA,NA,Taylor Ave N & 5th Ave N
4325,Seattle,N,SEA,YES,4,0,NA,NA,5th Ave N & Newton St
34940,Seattle,E,SEA,YES,50,0,NA,NA,S Genesee St & 43rd Ave S
4340,Seattle,W,SEA,YES,4,0,NA,NA,Boston St & 4th Ave N
4355,Seattle,W,SEA,YES,4,0,NA,NA,Boston St & 2nd Ave N
6650,Seattle,N,SEA,YES,5 61,0,NA,NA,Greenwood Ave N & N 87th St
6660,Seattle,N,SEA,YES,5,0,NA,NA,Greenwood Ave N & N 90th St
6670,Seattle,N,SEA,YES,5,1,NA,NA,Greenwood Ave N & N 92nd St
6685,Seattle,N,SEA,YES,5,1,NA,NA,Greenwood Ave N & N 97th St
34960,Seattle,E,SEA,YES,50,0,NA,NA,S Genesee St & 46th Ave S
34980,Seattle,S,SEA,YES,50,0,NA,NA,50th Ave S & S Genesee St
35000,Seattle,S,SEA,YES,50,0,NA,NA,50th Ave S & S Alaska St
35020,Seattle,S,SEA,YES,50,0,NA,NA,Wilson Ave S & S Hudson St
35030,Seattle,S,SEA,YES,50,0,NA,NA,Wilson Ave S & S Dawson St
35050,Seattle,S,SEA,YES,50,0,NA,NA,Wilson Ave S & S Findlay St
36530,Seattle,N,SEA,YES,125,0,NA,NA,16th Ave SW & SW Findlay St
36540,Seattle,N,SEA,YES,125,0,NA,NA,16th Ave SW & SW Brandon St
36560,Seattle,W,SEA,YES,125,1,NA,NA,SW Dawson St & 18th Ave SW
6693,Seattle,N,SEA,YES,5,0,NA,NA,Greenwood Ave N & N 100th St
8429,Seattle,N,SEA,YES,106 48 634N 7,1,NA,NA,Rainier Ave S & S Bayview St
8450,Seattle,N,SEA,YES,106 634N 7,1,NA,NA,Rainier Ave S & S Plum St
8460,Seattle,N,SEA,YES,106 634N 7,0,NA,NA,Rainier Ave S & S Grand St
